ip,country,city,asn,isp,org,ports,threat_names,source,last_scan
144.22.192.165,Brazil,São Paulo,AS31898,ORACLE-BMC-31898,unknown,8443,GoPhish,censys,2026-01-13_04-20-13
144.22.207.61,Brazil,São Paulo,AS31898,Oracle Corporation,Oracle Corporation,8443;8443,GoPhish;GoPhish,shodan,2026-01-13_04-25-16
147.28.223.190,Mexico,La Cañada,AS54825,"Packet Host, Inc.","Equinix Services, Inc.",31337,Sliver,shodan,2026-01-04_18-32-22
147.45.116.18,Brazil,São Paulo,AS215540,GLOBAL CONNECTIVITY SOLUTIONS LLP,GLOBAL CONNECTIVITY SOLUTIONS LLP,31337,Sliver,shodan,2026-01-13_08-16-49
148.230.153.56,Mexico,Torreón,AS22884,TOTAL PLAY TELECOMUNICACIONES SA DE CV,unknown,3333,GoPhish,censys,2026-01-09_22-10-30
15.228.3.86,Brazil,São Paulo,AS16509,"Amazon.com, Inc.",Amazon Data Services Brazil,80,Cobalt Strike,shodan,2026-01-06_03-05-38
150.187.25.242,"Venezuela, Bolivarian Republic of",Barquisimeto,AS20312,Fundación Centro Nacional de Innovación Tecnológica (CENIT),Fundación Centro Nacional de Innovación Tecnológica (CENIT),9999,Cobalt Strike,shodan,2026-01-13_11-37-27
152.67.58.223,Brazil,São Paulo,AS31898,Oracle Corporation,Oracle Public Cloud,8080,Hack5 Cloud C2,shodan,2026-01-13_05-53-29
156.244.39.44,Peru,Lima,AS138915,Kaopu Cloud HK Limited,Lightnode Limited,1604;11434,CHAOS;CHAOS,shodan,2026-01-09_17-34-42
157.151.4.17,Brazil,Vinhedo,AS31898,ORACLE-BMC-31898,unknown,3333,GoPhish,censys,2026-01-13_11-02-22
161.132.220.65,Peru,Lima,AS27843,WIN EMPRESAS S.A.C.,unknown,8080,Quasar,censys,2026-01-13_12-10-41
161.132.51.222,Peru,Lima,AS3132,Red Cientifica Peruana,unknown,3333,GoPhish,censys,2026-01-13_08-12-34
161.132.54.23,Peru,Lima,AS3132,Red Cientifica Peruana,unknown,8081,GoPhish,censys,2026-01-07_01-42-12
167.234.226.89,Brazil,São Paulo,AS31898,ORACLE-BMC-31898,unknown,443,GoPhish,censys,2026-01-13_09-22-31
168.138.128.79,Brazil,São Paulo,AS31898,ORACLE-BMC-31898,unknown,3333,GoPhish,censys,2026-01-13_07-12-49
