ip,country,city,asn,isp,org,ports,threat_names,source,last_scan
144.22.192.165,Brazil,São Paulo,AS31898,Oracle Corporation,Oracle Corporation,8443,GoPhish,shodan,2026-02-05_08-56-46
144.22.207.61,Brazil,São Paulo,AS31898,ORACLE-BMC-31898 - Oracle Corporation,unknown,8443,GoPhish,censys,2026-02-05_03-11-12
147.28.223.190,Mexico,La Cañada,AS54825,"Packet Host, Inc.","Equinix Services, Inc.",31337,Sliver,shodan,2026-01-04_18-32-22
147.45.116.18,Brazil,São Paulo,AS215540,GLOBAL CONNECTIVITY SOLUTIONS LLP,GLOBAL CONNECTIVITY SOLUTIONS LLP,31337,Sliver,shodan,2026-01-22_09-40-58
148.230.153.56,Mexico,Torreón,AS22884,TOTAL PLAY TELECOMUNICACIONES SA DE CV,unknown,3333,GoPhish,censys,2026-02-04_23-22-09
15.228.3.86,Brazil,São Paulo,AS16509,"Amazon.com, Inc.",Amazon Data Services Brazil,80,Cobalt Strike,shodan,2026-01-06_03-05-38
150.187.25.242,"Venezuela, Bolivarian Republic of",Barquisimeto,AS20312,Fundación Centro Nacional de Innovación Tecnológica (CENIT),Fundación Centro Nacional de Innovación Tecnológica (CENIT),9999,Cobalt Strike,shodan,2026-02-04_04-26-49
152.203.25.225,Colombia,Bucaramanga,AS3816,COLOMBIA TELECOMUNICACIONES S.A. ESP BIC,unknown,8080,GoPhish,censys,2026-01-27_11-49-19
152.67.58.223,Brazil,São Paulo,AS31898,Oracle Corporation,Oracle Public Cloud,8080,Hack5 Cloud C2,shodan,2026-02-05_05-44-29
156.244.39.44,Peru,Lima,AS138915,Kaopu Cloud HK Limited,Lightnode Limited,1604;11434,CHAOS;CHAOS,shodan,2026-01-09_17-34-42
157.151.4.17,Brazil,Vinhedo,AS31898,ORACLE-BMC-31898 - Oracle Corporation,unknown,3333,GoPhish,censys,2026-02-05_08-11-45
161.132.220.65,Peru,Lima,AS27843,WIN EMPRESAS S.A.C.,unknown,8080,Quasar,censys,2026-02-05_08-10-41
161.132.51.222,Peru,Lima,AS3132,Red Cientifica Peruana,unknown,3333,GoPhish,censys,2026-02-05_08-04-49
161.132.54.23,Peru,Lima,AS3132,Red Cientifica Peruana,unknown,8081,GoPhish,censys,2026-01-07_01-42-12
167.234.226.89,Brazil,São Paulo,AS31898,ORACLE-BMC-31898 - Oracle Corporation,unknown,443,GoPhish,censys,2026-02-05_10-11-04
168.138.128.79,Brazil,São Paulo,AS31898,ORACLE-BMC-31898 - Oracle Corporation,unknown,3333,GoPhish,censys,2026-02-05_11-11-51
170.231.155.101,Brazil,Varginha,AS263424,Fonelight Telecomunicações S/A,Fonelight Telecomunicações S/A,3790,Metasploit,shodan,2025-12-26_00-53-40
170.239.86.183,Chile,Santiago,AS52368,ZAM LTDA.,ZAM LTDA.,3333;3333,GoPhish;GoPhish,shodan,2025-12-15_03-08-50
170.239.86.232,Chile,Santiago,AS52368,ZAM LTDA.,ZAM LTDA.,3333;3333,GoPhish;GoPhish,shodan,2025-12-30_12-46-13
172.233.1.83,Brazil,São Paulo,AS63949,AKAMAI-LINODE-AP Akamai Connected Cloud,unknown,443,Havoc,censys,2026-01-09_16-14-23
172.233.15.195,Brazil,São Paulo,AS63949,Akamai Connected Cloud,Linode,8888,Supershell,shodan,2026-02-03_23-45-25
172.233.25.95,Brazil,São Paulo,AS63949,AKAMAI-LINODE-AP Akamai Connected Cloud,unknown,3333,GoPhish,censys,2026-02-05_10-11-07
